table_name,tier,exists_flag,object_type,row_count,min_trade_date,max_trade_date,distinct_trade_days,expected_key_columns,missing_key_columns,latest_lag_days,null_rate_summary,status,severity,recommendation
cn_stock_daily_price,P0_CRITICAL,Y,BASE TABLE,16717406,2000-01-04,2026-05-06,6379,"SYMBOL, TRADE_DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, AMOUNT, CHG_PCT",,-36,SYMBOL=0.0%; TRADE_DATE=0.0%; OPEN=0.0%; HIGH=0.0%; LOW=0.0%; CLOSE=0.0%; VOLUME=0.0%; AMOUNT=0.0%; CHG_PCT=0.00%,OK,CRITICAL,Table is healthy and up-to-date.
cn_index_daily_price,P0_CRITICAL,Y,BASE TABLE,29182,2010-01-04,2026-05-06,3964,"INDEX_CODE, TRADE_DATE, OPEN, CLOSE, HIGH, LOW, VOLUME, AMOUNT, PRE_CLOSE, CHG_PCT",,-36,INDEX_CODE=0.0%; TRADE_DATE=0.0%; OPEN=0.00%; CLOSE=0.0%; HIGH=0.00%; LOW=0.00%; VOLUME=0.0%; AMOUNT=0.0%; PRE_CLOSE=0.03%; CHG_PCT=0.00%,OK,CRITICAL,Table is healthy and up-to-date.
cn_sw_industry_daily,P0_CRITICAL,Y,BASE TABLE,102090,2009-10-29,2026-05-06,4010,"ts_code, name, trade_date, close, amount",,-36,ts_code=0.0%; name=0.0%; trade_date=0.0%; close=0.0%; amount=0.0%,OK,CRITICAL,Table is healthy and up-to-date.
cn_stock_monthly_basic,P0_CRITICAL,Y,BASE TABLE,737805,2008-01-31,2026-04-30,224,"symbol, trade_date, month_key, total_mv, circ_mv, pe_ttm, pb",,-30,symbol=0.0%; trade_date=0.0%; month_key=0.0%; total_mv=0.0%; circ_mv=0.0%; pe_ttm=17.07%; pb=0.77%,OK,CRITICAL,Table is healthy and up-to-date.
cn_stock_fina_indicator,P0_CRITICAL,Y,BASE TABLE,255045,2008-03-31,2026-03-31,95,"symbol, end_date, ann_date, report_type, netprofit_yoy, q_profit_yoy, or_yoy, eps, roe, grossprofit_margin",,0,symbol=0.0%; end_date=0.0%; ann_date=0.00%; report_type=100.00%; netprofit_yoy=4.97%; q_profit_yoy=11.91%; or_yoy=5.27%; eps=4.33%; roe=1.74%; grossprofit_margin=3.04%,WARN,CRITICAL,High null rates on key columns: report_type=100.0%.
cn_stock_daily_basic,P1_IMPORTANT,Y,BASE TABLE,16808419,2000-01-04,2026-05-06,6379,"symbol, trade_date, pe_ttm, pb, total_mv, circ_mv, volume_ratio",,-36,symbol=0.0%; trade_date=0.0%; pe_ttm=16.55%; pb=0.88%; total_mv=0.0%; circ_mv=0.0%; volume_ratio=0.15%,OK,WARN,Table is healthy and up-to-date.
cn_stock_leader_score_daily,P1_IMPORTANT,Y,BASE TABLE,11938438,2010-01-04,2026-04-30,3960,"trade_date, symbol, leader_score, leader_bucket",,-30,trade_date=0.0%; symbol=0.0%; leader_score=0.0%; leader_bucket=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_stock_leader_sw_l1_latest_snap,P1_IMPORTANT,Y,BASE TABLE,15501,2026-02-27,2026-05-06,3,"trade_date, symbol, leader_score, sw_l1_id",,-36,trade_date=0.0%; symbol=0.0%; leader_score=0.0%; sw_l1_id=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_stock_universe_status_t,P1_IMPORTANT,Y,BASE TABLE,6186,2001-04-13,2026-05-06,258,"symbol, is_active, last_trade_date",,-36,symbol=0.0%; is_active=0.0%; last_trade_date=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_board_member_map_d,P2_STRUCTURE,Y,BASE TABLE,41098956,2000-01-04,2026-05-06,6379,"trade_date, sector_type, sector_id, symbol",,-36,trade_date=0.0%; sector_type=0.0%; sector_id=0.0%; symbol=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_local_industry_map_hist,P2_STRUCTURE,Y,BASE TABLE,20349,1991-01-29,2026-04-17,2362,"symbol, industry_id, in_date, out_date, is_current",is_current,-17,symbol=0.0%; industry_id=0.0%; in_date=0.0%; out_date=0.0%,MISSING_COLUMNS,WARN,Missing key columns: is_current.
cn_local_industry_proxy_daily,P2_STRUCTURE,Y,BASE TABLE,1134723,2010-01-04,2026-04-29,3962,"industry_id, trade_date, member_count, ret_eqw, amount_total",,-29,industry_id=0.0%; trade_date=0.0%; member_count=0.0%; ret_eqw=0.0%; amount_total=0.05%,OK,WARN,Table is healthy and up-to-date.
cn_stock_income,P3_REPORTING,Y,BASE TABLE,287061,1996-12-31,2026-03-31,97,"symbol, end_date, ann_date, report_type, total_revenue, n_income_attr_p",,0,symbol=0.0%; end_date=0.0%; ann_date=0.0%; report_type=0.0%; total_revenue=0.24%; n_income_attr_p=0.09%,OK,INFO,Table is healthy and up-to-date.
cn_stock_balancesheet,P3_REPORTING,Y,BASE TABLE,263774,2001-12-31,2026-03-31,77,"symbol, end_date, ann_date, report_type, total_assets, total_liab",,0,symbol=0.0%; end_date=0.0%; ann_date=0.0%; report_type=0.0%; total_assets=0.01%; total_liab=0.15%,OK,INFO,Table is healthy and up-to-date.
cn_event_disclosure_date,P3_REPORTING,Y,BASE TABLE,266112,2008-03-31,2026-03-31,73,"symbol, end_date, pre_date, actual_date",,0,symbol=0.0%; end_date=0.0%; pre_date=1.13%; actual_date=3.33%,OK,INFO,Table is healthy and up-to-date.
cn_event_earnings_forecast,P3_REPORTING,Y,BASE TABLE,114941,2008-01-02,2026-04-29,4296,"symbol, ann_date, end_date, forecast_type, p_change_min, p_change_max",,-29,symbol=0.0%; ann_date=0.0%; end_date=0.0%; forecast_type=0.0%; p_change_min=7.43%; p_change_max=8.26%,OK,INFO,Table is healthy and up-to-date.
cn_ga_mainline_radar_daily,GA_LAYER,Y,BASE TABLE,26739,2026-01-05,2026-04-30,74,"trade_date, mainline_id, mainline_name, member_count, leader_count, mainline_score, mainline_state, rank_no, reason",,-30,trade_date=0.0%; mainline_id=0.0%; mainline_name=0.0%; member_count=0.0%; leader_count=0.0%; mainline_score=0.0%; mainline_state=0.0%; rank_no=0.0%; reason=0.0%,OK,INFO,Table is healthy and up-to-date.
cn_ga_market_pulse_daily,GA_LAYER,Y,BASE TABLE,77,2026-01-05,2026-04-30,77,"trade_date, market_score, market_state, target_exposure, breadth_up_ratio, risk_flag, reason",,-30,trade_date=0.0%; market_score=0.0%; market_state=0.0%; target_exposure=0.0%; breadth_up_ratio=0.0%; risk_flag=68.83%; reason=0.0%,WARN,INFO,High null rates on key columns: risk_flag=68.8%.
cn_ga_stock_role_map_daily,GA_LAYER,Y,BASE TABLE,5175,2026-02-27,2026-02-27,1,"trade_date, symbol, stock_name, mainline_id, mainline_name, leader_score, stock_role, role_score, role_reason",,32,trade_date=0.0%; symbol=0.0%; stock_name=32.17%; mainline_id=0.0%; mainline_name=0.0%; leader_score=0.0%; stock_role=0.0%; role_score=0.0%; role_reason=0.0%,STALE,INFO,Latest data is 32 days behind as-of date (threshold: 5d).
cn_ga_data_readiness_daily,GA_LAYER,Y,BASE TABLE,25,,,0,"trade_date, table_name, status, severity, row_count, max_trade_date, null_rate_summary",,-1,trade_date=100.00%; table_name=0.0%; status=0.0%; severity=100.00%; row_count=0.0%; max_trade_date=4.00%; null_rate_summary=100.00%,WARN,INFO,"High null rates on key columns: trade_date=100.0%, severity=100.0%, null_rate_summary=100.0%."
