mainline_id,total_rows,true_collapse_pct,diffusion_warning_pct,low_diffusion_bg_pct,suspected_background_noise
BK0737,18,5.56,27.78,66.67,False
851564.SI,37,5.41,91.89,2.7,False
857382.SI,21,4.76,71.43,23.81,False
BK0454,25,4.0,84.0,12.0,False
857221.SI,77,2.6,97.4,0.0,False
857344.SI,117,2.56,48.72,48.72,False
850324.SI,43,2.33,95.35,2.33,False
851316.SI,46,2.17,71.74,26.09,False
859633.SI,48,2.08,85.42,12.5,False
850333.SI,117,1.71,56.41,41.88,False
857261.SI,119,1.68,84.87,13.45,False
859714.SI,78,1.28,98.72,0.0,False
850813.SI,82,1.22,60.98,37.8,False
850711.SI,85,1.18,63.53,35.29,False
851532.SI,89,1.12,75.28,23.6,False
859721.SI,93,1.08,60.22,38.71,False
850442.SI,99,1.01,98.99,0.0,False
850716.SI,208,0.96,86.06,12.98,False
851811.SI,325,0.92,28.92,70.15,False
850832.SI,111,0.9,87.39,11.71,False
851614.SI,114,0.88,78.07,21.05,False
851631.SI,116,0.86,86.21,12.93,False
850614.SI,118,0.85,79.66,19.49,False
850922.SI,138,0.72,60.87,38.41,False
857421.SI,155,0.65,35.48,63.87,False
857451.SI,216,0.46,35.19,64.35,False
850751.SI,313,0.32,36.1,63.58,False
801720.SI,52,0.0,21.15,78.85,False
801730.SI,71,0.0,23.94,76.06,False
801740.SI,34,0.0,41.18,58.82,False
801750.SI,94,0.0,21.28,78.72,False
801760.SI,37,0.0,5.41,94.59,False
801770.SI,37,0.0,2.7,97.3,False
801790.SI,14,0.0,14.29,85.71,False
801880.SI,51,0.0,19.61,80.39,False
801890.SI,122,0.0,40.16,59.84,False
801950.SI,4,0.0,50.0,50.0,False
801960.SI,6,0.0,16.67,83.33,False
801970.SI,34,0.0,5.88,94.12,False
801980.SI,2,0.0,50.0,50.0,False
850111.SI,32,0.0,96.88,3.12,False
850113.SI,54,0.0,100.0,0.0,False
850122.SI,18,0.0,100.0,0.0,False
850135.SI,69,0.0,75.36,24.64,False
850136.SI,33,0.0,100.0,0.0,False
850142.SI,15,0.0,100.0,0.0,False
850151.SI,1,0.0,100.0,0.0,False
850152.SI,53,0.0,100.0,0.0,False
850154.SI,3,0.0,100.0,0.0,False
850172.SI,62,0.0,100.0,0.0,False
850173.SI,34,0.0,94.12,5.88,False
850181.SI,77,0.0,100.0,0.0,False
BK0482,11,0.0,100.0,0.0,False
850322.SI,53,0.0,83.02,16.98,False
850323.SI,57,0.0,94.74,5.26,False
850325.SI,96,0.0,100.0,0.0,False
850326.SI,51,0.0,100.0,0.0,False
850331.SI,111,0.0,100.0,0.0,False
850332.SI,18,0.0,83.33,16.67,False
850335.SI,79,0.0,75.95,24.05,False
850337.SI,88,0.0,98.86,1.14,False
850338.SI,64,0.0,89.06,10.94,False
850339.SI,261,0.0,34.48,65.52,False
850341.SI,31,0.0,70.97,29.03,False
850343.SI,36,0.0,97.22,2.78,False
850351.SI,32,0.0,59.38,40.62,False
850353.SI,42,0.0,97.62,2.38,False
850354.SI,42,0.0,97.62,2.38,False
850355.SI,69,0.0,95.65,4.35,False
850362.SI,7,0.0,100.0,0.0,False
850363.SI,12,0.0,83.33,16.67,False
850372.SI,34,0.0,100.0,0.0,False
850381.SI,34,0.0,76.47,23.53,False
850382.SI,13,0.0,100.0,0.0,False
850521.SI,121,0.0,100.0,0.0,False
850522.SI,51,0.0,90.2,9.8,False
850523.SI,10,0.0,100.0,0.0,False
850531.SI,36,0.0,55.56,44.44,False
850544.SI,85,0.0,80.0,20.0,False
850551.SI,273,0.0,82.42,17.58,False
850552.SI,139,0.0,100.0,0.0,False
850553.SI,101,0.0,81.19,18.81,False
850615.SI,30,0.0,100.0,0.0,False
850616.SI,31,0.0,93.55,6.45,False
850623.SI,43,0.0,100.0,0.0,False
850702.SI,16,0.0,100.0,0.0,False
850703.SI,228,0.0,39.91,60.09,False
850713.SI,71,0.0,98.59,1.41,False
850715.SI,121,0.0,98.35,1.65,False
850232.SI,25,0.0,100.0,0.0,False
850721.SI,32,0.0,90.62,9.38,False
850725.SI,240,0.0,36.67,63.33,False
850726.SI,8,0.0,100.0,0.0,False
850727.SI,300,0.0,41.67,58.33,False
850728.SI,45,0.0,93.33,6.67,False
850731.SI,152,0.0,43.42,56.58,False
850741.SI,64,0.0,100.0,0.0,False
850771.SI,122,0.0,70.49,29.51,False
850772.SI,22,0.0,100.0,0.0,False
850781.SI,46,0.0,80.43,19.57,False
850782.SI,87,0.0,88.51,11.49,False
850783.SI,81,0.0,100.0,0.0,False
850784.SI,39,0.0,94.87,5.13,False
850812.SI,70,0.0,100.0,0.0,False
850814.SI,159,0.0,43.4,56.6,False
850815.SI,113,0.0,65.49,34.51,False
850817.SI,34,0.0,100.0,0.0,False
850818.SI,85,0.0,84.71,15.29,False
850822.SI,173,0.0,86.13,13.87,False
850823.SI,48,0.0,81.25,18.75,False
850831.SI,195,0.0,70.77,29.23,False
850833.SI,54,0.0,88.89,11.11,False
850841.SI,139,0.0,90.65,9.35,False
850853.SI,11,0.0,100.0,0.0,False
850854.SI,323,0.0,47.68,52.32,False
850861.SI,116,0.0,52.59,47.41,False
850912.SI,28,0.0,100.0,0.0,False
850913.SI,3,0.0,100.0,0.0,False
850923.SI,484,0.0,22.11,77.89,False
850924.SI,57,0.0,59.65,40.35,False
850925.SI,229,0.0,52.4,47.6,False
850926.SI,155,0.0,65.16,34.84,False
850935.SI,5,0.0,80.0,20.0,False
850936.SI,46,0.0,41.3,58.7,False
850952.SI,18,0.0,100.0,0.0,False
851024.SI,148,0.0,94.59,5.41,False
851025.SI,51,0.0,100.0,0.0,False
851026.SI,123,0.0,69.92,30.08,False
851027.SI,69,0.0,98.55,1.45,False
851041.SI,246,0.0,31.71,68.29,False
851042.SI,60,0.0,73.33,26.67,False
851112.SI,58,0.0,100.0,0.0,False
851116.SI,42,0.0,100.0,0.0,False
851122.SI,68,0.0,95.59,4.41,False
851131.SI,3,0.0,66.67,33.33,False
851141.SI,31,0.0,100.0,0.0,False
851151.SI,45,0.0,88.89,11.11,False
851161.SI,138,0.0,100.0,0.0,False
851232.SI,54,0.0,100.0,0.0,False
851233.SI,20,0.0,80.0,20.0,False
851241.SI,61,0.0,96.72,3.28,False
851242.SI,20,0.0,80.0,20.0,False
851243.SI,31,0.0,96.77,3.23,False
851246.SI,9,0.0,88.89,11.11,False
851247.SI,37,0.0,100.0,0.0,False
851251.SI,128,0.0,100.0,0.0,False
851271.SI,27,0.0,100.0,0.0,False
851281.SI,63,0.0,88.89,11.11,False
851282.SI,8,0.0,75.0,25.0,False
851312.SI,45,0.0,95.56,4.44,False
851315.SI,26,0.0,100.0,0.0,False
851325.SI,78,0.0,100.0,0.0,False
851326.SI,32,0.0,100.0,0.0,False
851329.SI,103,0.0,41.75,58.25,False
851331.SI,32,0.0,56.25,43.75,False
851412.SI,10,0.0,70.0,30.0,False
851413.SI,73,0.0,98.63,1.37,False
851422.SI,8,0.0,100.0,0.0,False
851423.SI,31,0.0,96.77,3.23,False
851424.SI,21,0.0,100.0,0.0,False
851425.SI,51,0.0,86.27,13.73,False
851436.SI,66,0.0,89.39,10.61,False
851437.SI,22,0.0,63.64,36.36,False
851438.SI,40,0.0,95.0,5.0,False
851439.SI,30,0.0,93.33,6.67,False
851452.SI,58,0.0,67.24,32.76,False
851491.SI,87,0.0,56.32,43.68,False
851511.SI,110,0.0,50.0,50.0,False
851512.SI,182,0.0,32.42,67.58,False
851521.SI,344,0.0,38.37,61.63,False
851522.SI,23,0.0,91.3,8.7,False
851523.SI,12,0.0,66.67,33.33,False
851524.SI,170,0.0,69.41,30.59,False
BK0484,12,0.0,100.0,0.0,False
851533.SI,110,0.0,50.0,50.0,False
851534.SI,136,0.0,36.03,63.97,False
851542.SI,39,0.0,53.85,46.15,False
851543.SI,3,0.0,100.0,0.0,False
851563.SI,52,0.0,100.0,0.0,False
BK0485,7,0.0,100.0,0.0,False
851610.SI,37,0.0,64.86,35.14,False
851611.SI,127,0.0,81.89,18.11,False
851612.SI,25,0.0,100.0,0.0,False
BK0486,6,0.0,100.0,0.0,False
851616.SI,10,0.0,90.0,10.0,False
851617.SI,45,0.0,97.78,2.22,False
BK0538,5,0.0,40.0,60.0,False
851711.SI,64,0.0,73.44,26.56,False
851721.SI,39,0.0,100.0,0.0,False
851731.SI,68,0.0,54.41,45.59,False
851761.SI,49,0.0,81.63,18.37,False
851771.SI,20,0.0,100.0,0.0,False
851782.SI,41,0.0,95.12,4.88,False
851783.SI,10,0.0,100.0,0.0,False
851784.SI,29,0.0,100.0,0.0,False
851785.SI,59,0.0,69.49,30.51,False
851786.SI,13,0.0,100.0,0.0,False
851787.SI,17,0.0,100.0,0.0,False
BK0545,11,0.0,45.45,54.55,False
851812.SI,57,0.0,92.98,7.02,False
851813.SI,46,0.0,100.0,0.0,False
851831.SI,30,0.0,100.0,0.0,False
851922.SI,83,0.0,98.8,1.2,False
851927.SI,40,0.0,100.0,0.0,False
851931.SI,215,0.0,39.53,60.47,False
852021.SI,78,0.0,91.03,8.97,False
852031.SI,128,0.0,90.62,9.38,False
852032.SI,23,0.0,100.0,0.0,False
852033.SI,36,0.0,61.11,38.89,False
852034.SI,62,0.0,96.77,3.23,False
852041.SI,32,0.0,100.0,0.0,False
852062.SI,25,0.0,92.0,8.0,False
852063.SI,15,0.0,73.33,26.67,False
852112.SI,38,0.0,97.37,2.63,False
852121.SI,22,0.0,95.45,4.55,False
852131.SI,45,0.0,100.0,0.0,False
852182.SI,29,0.0,58.62,41.38,False
852183.SI,37,0.0,100.0,0.0,False
852213.SI,94,0.0,90.43,9.57,False
852214.SI,67,0.0,89.55,10.45,False
852226.SI,370,0.0,26.22,73.78,False
852311.SI,121,0.0,99.17,0.83,False
857111.SI,26,0.0,76.92,23.08,False
857112.SI,38,0.0,100.0,0.0,False
857121.SI,39,0.0,100.0,0.0,False
857122.SI,39,0.0,100.0,0.0,False
BK0546,1,0.0,100.0,0.0,False
857236.SI,10,0.0,100.0,0.0,False
857241.SI,3,0.0,66.67,33.33,False
857242.SI,34,0.0,100.0,0.0,False
857243.SI,33,0.0,100.0,0.0,False
857244.SI,77,0.0,76.62,23.38,False
857251.SI,109,0.0,94.5,5.5,False
BK0727,9,0.0,100.0,0.0,False
857321.SI,120,0.0,75.83,24.17,False
857323.SI,87,0.0,98.85,1.15,False
857334.SI,11,0.0,100.0,0.0,False
857336.SI,56,0.0,75.0,25.0,False
BK0728,9,0.0,100.0,0.0,False
857352.SI,66,0.0,100.0,0.0,False
857354.SI,44,0.0,86.36,13.64,False
857355.SI,45,0.0,84.44,15.56,False
857362.SI,66,0.0,59.09,40.91,False
857371.SI,60,0.0,100.0,0.0,False
857372.SI,105,0.0,40.0,60.0,False
857373.SI,21,0.0,100.0,0.0,False
857375.SI,8,0.0,100.0,0.0,False
857381.SI,168,0.0,98.21,1.79,False
BK0730,1,0.0,100.0,0.0,False
857411.SI,37,0.0,100.0,0.0,False
BK0731,4,0.0,100.0,0.0,False
857431.SI,51,0.0,100.0,0.0,False
BK0732,11,0.0,100.0,0.0,False
857641.SI,125,0.0,90.4,9.6,False
857651.SI,115,0.0,97.39,2.61,False
857661.SI,42,0.0,83.33,16.67,False
857674.SI,12,0.0,91.67,8.33,False
857691.SI,5,0.0,100.0,0.0,False
857692.SI,38,0.0,97.37,2.63,False
857821.SI,62,0.0,100.0,0.0,False
857831.SI,34,0.0,85.29,14.71,False
857841.SI,40,0.0,77.5,22.5,False
857851.SI,26,0.0,61.54,38.46,False
858811.SI,47,0.0,95.74,4.26,False
858812.SI,34,0.0,94.12,5.88,False
859511.SI,36,0.0,80.56,19.44,False
859512.SI,83,0.0,96.39,3.61,False
859521.SI,42,0.0,97.62,2.38,False
859621.SI,12,0.0,91.67,8.33,False
859622.SI,27,0.0,92.59,7.41,False
859631.SI,28,0.0,100.0,0.0,False
859632.SI,31,0.0,87.1,12.9,False
BK0739,1,0.0,100.0,0.0,False
859711.SI,34,0.0,100.0,0.0,False
859712.SI,166,0.0,37.35,62.65,False
859713.SI,87,0.0,59.77,40.23,False
BK0910,33,0.0,36.36,63.64,False
BK1015,9,0.0,88.89,11.11,False
859811.SI,26,0.0,92.31,7.69,False
859821.SI,29,0.0,96.55,3.45,False
859822.SI,1,0.0,100.0,0.0,False
859852.SI,78,0.0,100.0,0.0,False
859951.SI,71,0.0,88.73,11.27,False
BK0420,5,0.0,80.0,20.0,False
BK0422,12,0.0,100.0,0.0,False
BK0425,2,0.0,100.0,0.0,False
BK0433,12,0.0,91.67,8.33,False
BK0436,16,0.0,93.75,6.25,False
BK0438,11,0.0,54.55,45.45,False
BK0447,5,0.0,100.0,0.0,False
BK0450,11,0.0,100.0,0.0,False
BK0451,11,0.0,100.0,0.0,False
801710.SI,24,0.0,12.5,87.5,False
BK0456,19,0.0,100.0,0.0,False
BK0458,2,0.0,100.0,0.0,False
BK0459,10,0.0,40.0,60.0,False
BK0470,7,0.0,71.43,28.57,False
BK0471,15,0.0,93.33,6.67,False
BK0476,4,0.0,50.0,50.0,False
BK0477,11,0.0,100.0,0.0,False
BK0478,10,0.0,100.0,0.0,False
BK0479,19,0.0,52.63,47.37,False
BK0480,13,0.0,100.0,0.0,False
BK0481,10,0.0,50.0,50.0,False
BK1018,12,0.0,83.33,16.67,False
BK1019,16,0.0,62.5,37.5,False
BK1020,5,0.0,80.0,20.0,False
BK1027,8,0.0,75.0,25.0,False
BK1028,15,0.0,100.0,0.0,False
BK1029,1,0.0,100.0,0.0,False
BK1032,11,0.0,100.0,0.0,False
BK1033,2,0.0,100.0,0.0,False
BK1034,3,0.0,100.0,0.0,False
BK1035,1,0.0,100.0,0.0,False
BK1036,5,0.0,100.0,0.0,False
BK1038,13,0.0,100.0,0.0,False
BK1040,11,0.0,100.0,0.0,False
BK1041,6,0.0,50.0,50.0,False
BK1043,16,0.0,100.0,0.0,False
BK1045,4,0.0,100.0,0.0,False
801010.SI,18,0.0,5.56,94.44,False
801030.SI,111,0.0,1.8,98.2,False
801040.SI,5,0.0,60.0,40.0,False
801050.SI,44,0.0,4.55,95.45,False
801080.SI,147,0.0,21.09,78.91,False
801110.SI,27,0.0,18.52,81.48,False
801120.SI,23,0.0,30.43,69.57,False
801130.SI,25,0.0,4.0,96.0,False
801140.SI,8,0.0,0.0,100.0,False
801150.SI,52,0.0,25.0,75.0,False
801160.SI,14,0.0,14.29,85.71,False
801170.SI,10,0.0,20.0,80.0,False
801180.SI,24,0.0,29.17,70.83,False
801200.SI,16,0.0,12.5,87.5,False
801210.SI,5,0.0,40.0,60.0,False
801230.SI,8,0.0,100.0,0.0,False
